,UNIT,DATEn,TIMEn,Hour,DESCn,ENTRIESn_hourly,EXITSn_hourly,maxpressurei,maxdewpti,mindewpti,minpressurei,meandewpti,meanpressurei,fog,rain,meanwindspdi,mintempi,meantempi,maxtempi,precipi,thunder
0,R001,5/1/2011,1:00:00,1,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
1,R001,5/1/2011,5:00:00,5,REGULAR,217,553,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
2,R001,5/1/2011,9:00:00,9,REGULAR,890,1262,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
3,R001,5/1/2011,13:00:00,13,REGULAR,2451,3708,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
4,R001,5/1/2011,17:00:00,17,REGULAR,4400,2501,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
5,R001,5/1/2011,21:00:00,21,REGULAR,3372,2122,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
6,R002,5/1/2011,1:00:00,1,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
7,R002,5/1/2011,5:00:00,5,REGULAR,42,66,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
8,R002,5/1/2011,9:00:00,9,REGULAR,50,125,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
9,R002,5/1/2011,13:00:00,13,REGULAR,316,716,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
10,R002,5/1/2011,17:00:00,17,REGULAR,633,968,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
11,R002,5/1/2011,21:00:00,21,REGULAR,639,566,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
12,R003,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
13,R003,5/1/2011,4:00:00,4,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
14,R003,5/1/2011,12:00:00,12,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
15,R003,5/1/2011,16:00:00,16,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
16,R003,5/1/2011,20:00:00,20,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
17,R004,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
18,R004,5/1/2011,4:00:00,4,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
19,R004,5/1/2011,8:00:00,8,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
20,R004,5/1/2011,12:00:00,12,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
21,R004,5/1/2011,16:00:00,16,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
22,R004,5/1/2011,20:00:00,20,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
23,R005,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
24,R005,5/1/2011,4:00:00,4,REGULAR,0,2,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
25,R005,5/1/2011,12:00:00,12,REGULAR,0,2,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
26,R005,5/1/2011,16:00:00,16,REGULAR,1,7,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
27,R005,5/1/2011,20:00:00,20,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
28,R006,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
29,R006,5/1/2011,4:00:00,4,REGULAR,0,1,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
30,R006,5/1/2011,8:00:00,8,REGULAR,2,1,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
31,R006,5/1/2011,12:00:00,12,REGULAR,0,7,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
32,R006,5/1/2011,16:00:00,16,REGULAR,2,3,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
33,R006,5/1/2011,20:00:00,20,REGULAR,1,3,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
34,R007,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
35,R007,5/1/2011,4:00:00,4,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
36,R007,5/1/2011,12:00:00,12,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
37,R007,5/1/2011,16:00:00,16,REGULAR,0,1,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
38,R008,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
39,R008,5/1/2011,4:00:00,4,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
40,R008,5/1/2011,12:00:00,12,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
41,R008,5/1/2011,16:00:00,16,REGULAR,0,3,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
42,R008,5/1/2011,20:00:00,20,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
43,R009,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
44,R009,5/1/2011,4:00:00,4,REGULAR,0,4,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
45,R009,5/1/2011,12:00:00,12,REGULAR,1,20,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
46,R009,5/1/2011,16:00:00,16,REGULAR,0,17,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
47,R009,5/1/2011,20:00:00,20,REGULAR,0,13,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
48,R010,5/1/2011,2:00:00,2,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
49,R010,5/1/2011,6:00:00,6,REGULAR,1643,517,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
50,R010,5/1/2011,10:00:00,10,REGULAR,1090,899,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
51,R010,5/1/2011,14:00:00,14,REGULAR,2779,2349,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
52,R010,5/1/2011,18:00:00,18,REGULAR,3804,3457,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
53,R010,5/1/2011,22:00:00,22,REGULAR,4526,2510,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
54,R011,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
55,R011,5/1/2011,4:00:00,4,REGULAR,1666,1036,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
56,R011,5/1/2011,8:00:00,8,REGULAR,597,455,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
57,R011,5/1/2011,12:00:00,12,REGULAR,6723,5693,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
58,R011,5/1/2011,16:00:00,16,REGULAR,6994,6794,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
59,R011,5/1/2011,20:00:00,20,REGULAR,8024,7869,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
60,R012,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
61,R012,5/1/2011,2:52:46,2,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
62,R012,5/1/2011,4:00:00,4,REGULAR,1774,1289,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
63,R012,5/1/2011,8:00:00,8,REGULAR,693,1083,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
64,R012,5/1/2011,12:00:00,12,REGULAR,4609,6018,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
65,R012,5/1/2011,16:00:00,16,REGULAR,8099,9457,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
66,R012,5/1/2011,20:00:00,20,REGULAR,10223,8016,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
67,R013,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
68,R013,5/1/2011,4:00:00,4,REGULAR,608,122,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
69,R013,5/1/2011,8:00:00,8,REGULAR,126,168,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
70,R013,5/1/2011,12:00:00,12,REGULAR,677,1229,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
71,R013,5/1/2011,16:00:00,16,REGULAR,1973,2219,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
72,R013,5/1/2011,20:00:00,20,REGULAR,3186,1496,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
73,R014,5/1/2011,1:00:00,1,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
74,R014,5/1/2011,5:00:00,5,REGULAR,28,48,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
75,R014,5/1/2011,9:00:00,9,REGULAR,59,211,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
76,R014,5/1/2011,13:00:00,13,REGULAR,237,615,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
77,R014,5/1/2011,17:00:00,17,REGULAR,618,714,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
78,R014,5/1/2011,21:00:00,21,REGULAR,663,390,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
79,R015,5/1/2011,2:00:00,2,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
80,R015,5/1/2011,6:00:00,6,REGULAR,52,45,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
81,R015,5/1/2011,10:00:00,10,REGULAR,124,585,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
82,R015,5/1/2011,14:00:00,14,REGULAR,847,1802,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
83,R015,5/1/2011,18:00:00,18,REGULAR,1616,1364,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
84,R015,5/1/2011,22:00:00,22,REGULAR,1270,513,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
85,R016,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
86,R016,5/1/2011,4:00:00,4,REGULAR,175,100,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
87,R016,5/1/2011,12:00:00,12,REGULAR,375,592,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
88,R016,5/1/2011,16:00:00,16,REGULAR,587,620,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
89,R016,5/1/2011,20:00:00,20,REGULAR,674,570,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
90,R017,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
91,R017,5/1/2011,4:00:00,4,REGULAR,491,342,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
92,R017,5/1/2011,8:00:00,8,REGULAR,346,398,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
93,R017,5/1/2011,12:00:00,12,REGULAR,1353,1855,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
94,R017,5/1/2011,16:00:00,16,REGULAR,2103,2025,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
95,R017,5/1/2011,20:00:00,20,REGULAR,2445,1933,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
96,R018,5/1/2011,0:00:00,0,REGULAR,0,0,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
97,R018,5/1/2011,4:00:00,4,REGULAR,1262,3131,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
98,R018,5/1/2011,8:00:00,8,REGULAR,1655,460,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
99,R018,5/1/2011,12:00:00,12,REGULAR,9285,4252,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
100,R018,5/1/2011,16:00:00,16,REGULAR,9529,6442,30.31,42,35,30.23,39,30.27,0,0,5,50,60,69,0,0
15072,R291,5/4/2011,0:00:00,0,REGULAR,2301,335,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15073,R291,5/4/2011,4:00:00,4,REGULAR,83,111,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15074,R291,5/4/2011,8:00:00,8,REGULAR,166,595,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15075,R291,5/4/2011,12:00:00,12,REGULAR,1919,8552,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15076,R291,5/4/2011,16:00:00,16,REGULAR,5550,2030,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15077,R291,5/4/2011,20:00:00,20,REGULAR,6640,2046,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15078,R292,5/4/2011,1:00:00,1,REGULAR,134,128,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15079,R292,5/4/2011,5:00:00,5,REGULAR,66,16,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15080,R292,5/4/2011,9:00:00,9,REGULAR,1775,134,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15081,R292,5/4/2011,13:00:00,13,REGULAR,551,99,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15082,R292,5/4/2011,17:00:00,17,REGULAR,1070,222,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15083,R292,5/4/2011,21:00:00,21,REGULAR,455,300,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15084,R293,5/4/2011,2:00:00,2,REGULAR,4364,2982,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15085,R293,5/4/2011,6:00:00,6,REGULAR,769,537,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15086,R293,5/4/2011,10:00:00,10,REGULAR,24104,7293,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15087,R293,5/4/2011,14:00:00,14,REGULAR,8694,6594,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15088,R293,5/4/2011,18:00:00,18,REGULAR,10971,14983,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15089,R293,5/4/2011,22:00:00,22,REGULAR,8964,9304,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15090,R294,5/4/2011,0:00:00,0,REGULAR,636,657,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15091,R294,5/4/2011,4:00:00,4,REGULAR,113,192,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15092,R294,5/4/2011,8:00:00,8,REGULAR,363,161,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15093,R294,5/4/2011,12:00:00,12,REGULAR,2552,870,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15094,R294,5/4/2011,16:00:00,16,REGULAR,1425,440,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15095,R294,5/4/2011,20:00:00,20,REGULAR,1706,984,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15096,R295,5/4/2011,0:00:00,0,REGULAR,232,700,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15097,R295,5/4/2011,4:00:00,4,REGULAR,48,176,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15098,R295,5/4/2011,8:00:00,8,REGULAR,801,140,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15099,R295,5/4/2011,12:00:00,12,REGULAR,1372,453,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15100,R295,5/4/2011,16:00:00,16,REGULAR,671,713,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15101,R295,5/4/2011,20:00:00,20,REGULAR,529,1237,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15102,R296,5/4/2011,1:00:00,1,REGULAR,156,423,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15103,R296,5/4/2011,5:00:00,5,REGULAR,87,127,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15104,R296,5/4/2011,9:00:00,9,REGULAR,1624,205,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15105,R296,5/4/2011,13:00:00,13,REGULAR,871,264,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15106,R296,5/4/2011,17:00:00,17,REGULAR,763,652,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15107,R296,5/4/2011,21:00:00,21,REGULAR,503,774,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15108,R297,5/4/2011,1:00:00,1,REGULAR,438,962,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15109,R297,5/4/2011,5:00:00,5,REGULAR,117,206,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
15110,R297,5/4/2011,9:00:00,9,REGULAR,1649,988,30.03,57,38,29.91,48,29.97,0,1,6,46,55,64,0.5,0
